weekday,hours,exit_num,exit_name,latitude,longitude,action,total
1,0,48,Batavia - NY Route 98,43.01859,-78.18819,entrance,33
1,0,48,Batavia - NY Route 98,43.01859,-78.18819,exit,33
1,0,48A,Pembroke - Medina - NY Route 77,43.00281,-78.41385,entrance,35
1,0,48A,Pembroke - Medina - NY Route 77,43.00281,-78.41385,exit,31
1,0,49,Depew - Lockport - NY Route 78,42.95065,-78.70493,entrance,37
1,0,49,Depew - Lockport - NY Route 78,42.95065,-78.70493,exit,32
1,0,50,Niagara Falls - I-290,42.94892,-78.76393,entrance,139
1,0,50,Niagara Falls - I-290,42.94892,-78.76393,exit,104
1,0,55,Springville - Orchard Park - Lackawanna - West Seneca - US Route 219 - Ridge Road,42.82744,-78.79094,entrance,61
1,0,55,Springville - Orchard Park - Lackawanna - West Seneca - US Route 219 - Ridge Road,42.82744,-78.79094,exit,66
1,0,56,Blasdell - Orchard Park - Mile Strip Road (NY Route 179),42.79274,-78.81661,entrance,18
1,0,56,Blasdell - Orchard Park - Mile Strip Road (NY Route 179),42.79274,-78.81661,exit,16
1,0,57,Hamburg - East Aurora - NY Route 75,42.74377,-78.84037,entrance,23
1,0,57,Hamburg - East Aurora - NY Route 75,42.74377,-78.84037,exit,26
1,0,57A,Eden - Angola,42.65908,-78.9609,entrance,11
1,0,57A,Eden - Angola,42.65908,-78.9609,exit,17
1,0,58,"Silver Creek - Irving - NY Routes 5, 20 & 438",42.55092,-79.10812,entrance,19
1,0,58,"Silver Creek - Irving - NY Routes 5, 20 & 438",42.55092,-79.10812,exit,22
1,0,59,Dunkirk - Fredonia - NY Route 60,42.4621,-79.3058,entrance,27
1,0,59,Dunkirk - Fredonia - NY Route 60,42.4621,-79.3058,exit,32
1,0,60,Westfield - Mayville - NY Route 394,42.33869,-79.58345,entrance,4
1,0,60,Westfield - Mayville - NY Route 394,42.33869,-79.58345,exit,7
1,0,61,Ripley - Shortman Road,42.26208,-79.74435,entrance,53
1,0,61,Ripley - Shortman Road,42.26208,-79.74435,exit,30
1,0,B1,Albany - Hudson - Rensselaer - I-90 - US Route 9,42.4821,-73.67022,entrance,30
1,0,B1,Albany - Hudson - Rensselaer - I-90 - US Route 9,42.4821,-73.67022,exit,35
1,0,B2,Taconic State Parkway - NY Route 295,42.42027,-73.54834,entrance,8
1,0,B2,Taconic State Parkway - NY Route 295,42.42027,-73.54834,exit,15
1,0,B3,Austerlitz - New Lebanon - NY Route 22,42.35767,-73.42707,entrance,59
1,0,B3,Austerlitz - New Lebanon - NY Route 22,42.35767,-73.42707,exit,53
1,1,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,entrance,89
1,1,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,exit,58
1,1,16,Harriman - US Route 6 - NY Route 17,41.31065,-74.12265,entrance,16
1,1,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,entrance,53
1,1,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,exit,48
1,1,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,entrance,25
1,1,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,exit,35
1,1,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,entrance,34
1,1,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,exit,45
1,1,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,entrance,16
1,1,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,exit,36
1,1,21,Catskill - Cairo - NY Route 23,42.25013,-73.88444,entrance,17
1,1,21,Catskill - Cairo - NY Route 23,42.25013,-73.88444,exit,21
1,1,21B,Coxsackie - Ravena - US Route 9W - NY Route 81,42.39365,-73.82495,entrance,18
1,1,21B,Coxsackie - Ravena - US Route 9W - NY Route 81,42.39365,-73.82495,exit,14
1,1,22,Selkirk - NY Routes 144 & 396,42.53415,-73.78411,entrance,17
1,1,22,Selkirk - NY Routes 144 & 396,42.53415,-73.78411,exit,19
1,1,23,Albany (Downtown) - Troy - Rensselaer - I-787 - US Route 9W,42.63289,-73.78142,entrance,98
1,1,23,Albany (Downtown) - Troy - Rensselaer - I-787 - US Route 9W,42.63289,-73.78142,exit,60
1,1,24,Albany - Montreal - I-90 East - I-87 North,42.69778,-73.84546,entrance,114
1,1,24,Albany - Montreal - I-90 East - I-87 North,42.69778,-73.84546,exit,93
1,1,25,Schenectady - I-890 - NY Routes 7 & 146,42.754,-73.93361,entrance,35
1,1,25,Schenectady - I-890 - NY Routes 7 & 146,42.754,-73.93361,exit,43
1,1,25A,Schenectady - Binghamton - I-88 - NY Route 7,42.79035,-74.01592,entrance,33
1,1,25A,Schenectady - Binghamton - I-88 - NY Route 7,42.79035,-74.01592,exit,37
1,1,26,Schenectady - Scotia - I-890 - NY Routes 5 & 5S,42.83812,-74.0126,entrance,13
1,1,26,Schenectady - Scotia - I-890 - NY Routes 5 & 5S,42.83812,-74.0126,exit,22
1,1,27,Amsterdam - NY Route 30,42.92295,-74.19648,entrance,23
1,1,27,Amsterdam - NY Route 30,42.92295,-74.19648,exit,31
1,1,28,Fultonville - Fonda - NY Route 30A,42.94476,-74.35976,entrance,16
1,1,28,Fultonville - Fonda - NY Route 30A,42.94476,-74.35976,exit,24
1,1,29,Canajoharie - Sharon Springs - NY Route 10,42.90697,-74.56224,entrance,4
1,1,29,Canajoharie - Sharon Springs - NY Route 10,42.90697,-74.56224,exit,10
1,1,29A,Little Falls - Dolgeville - NY Route 169,43.01657,-74.81745,entrance,6
1,1,29A,Little Falls - Dolgeville - NY Route 169,43.01657,-74.81745,exit,12
1,1,30,Herkimer - Mohawk - NY Route 28,43.01778,-74.98931,entrance,7
1,1,30,Herkimer - Mohawk - NY Route 28,43.01778,-74.98931,exit,27
1,1,31,Utica - I-790 - NY Routes 8 & 12,43.11198,-75.20499,entrance,32
1,1,31,Utica - I-790 - NY Routes 8 & 12,43.11198,-75.20499,exit,53
1,1,32,Westmoreland - Rome - NY Route 233,43.12388,-75.40102,entrance,20
1,1,32,Westmoreland - Rome - NY Route 233,43.12388,-75.40102,exit,28
1,1,33,Verona - Rome - Oneida - NY Route 365,43.12375,-75.5823,entrance,92
1,1,33,Verona - Rome - Oneida - NY Route 365,43.12375,-75.5823,exit,48
1,1,34,Canastota - Oneida - Chittenango - NY Route 13,43.0926,-75.7472,entrance,15
1,1,34,Canastota - Oneida - Chittenango - NY Route 13,43.0926,-75.7472,exit,31
1,1,34A,Syracuse - Chittenango - Oswego - I-481,43.09475,-76.04353,entrance,40
1,1,34A,Syracuse - Chittenango - Oswego - I-481,43.09475,-76.04353,exit,38
1,1,35,Syracuse - East Syracuse - NY Route 298,43.09278,-76.08985,entrance,21
1,1,35,Syracuse - East Syracuse - NY Route 298,43.09278,-76.08985,exit,14
1,1,36,Watertown - Binghamton - I-81,43.09458,-76.16788,entrance,58
1,1,36,Watertown - Binghamton - I-81,43.09458,-76.16788,exit,43
1,1,37,Syracuse - Liverpool - Electronics Parkway,43.10206,-76.18139,entrance,7
1,1,37,Syracuse - Liverpool - Electronics Parkway,43.10206,-76.18139,exit,21
1,1,38,Syracuse - Liverpool - County Route 57,43.11717,-76.21867,entrance,13
1,1,38,Syracuse - Liverpool - County Route 57,43.11717,-76.21867,exit,26
1,1,39,Syracuse - Fulton - I-690 - NY Route 690,43.1073,-76.2872,entrance,39
1,1,39,Syracuse - Fulton - I-690 - NY Route 690,43.1073,-76.2872,exit,48
1,1,40,Weedsport - Auburn - NY Route 34,43.06112,-76.56474,entrance,10
1,1,40,Weedsport - Auburn - NY Route 34,43.06112,-76.56474,exit,19
1,1,41,Waterloo - Clyde - NY Route 414,42.96744,-76.85294,entrance,55
1,1,41,Waterloo - Clyde - NY Route 414,42.96744,-76.85294,exit,38
1,1,42,Geneva - Lyons - NY Route 14,42.95489,-76.98206,entrance,19
1,1,42,Geneva - Lyons - NY Route 14,42.95489,-76.98206,exit,28
1,1,43,Manchester - Palmyra - NY Route 21,42.97874,-77.23343,entrance,10
1,1,43,Manchester - Palmyra - NY Route 21,42.97874,-77.23343,exit,21
1,1,44,Canandaigua - Victor - NY Route 332,42.9957,-77.3684,entrance,23
1,1,44,Canandaigua - Victor - NY Route 332,42.9957,-77.3684,exit,24
1,1,45,Rochester - Victor - I-490,43.00922,-77.43991,entrance,52
1,1,45,Rochester - Victor - I-490,43.00922,-77.43991,exit,55
1,1,46,Rochester - Corning - I-390,43.04775,-77.65387,entrance,46
1,1,46,Rochester - Corning - I-390,43.04775,-77.65387,exit,40
1,1,47,Rochester - LeRoy - I-490 - NY Route 19,43.02896,-77.96674,entrance,25
1,1,47,Rochester - LeRoy - I-490 - NY Route 19,43.02896,-77.96674,exit,40
1,1,48,Batavia - NY Route 98,43.01859,-78.18819,entrance,20
1,1,48,Batavia - NY Route 98,43.01859,-78.18819,exit,15
